"id","region","is_global","type","common_name","scientific_name","cites","cites_other","extant_countries","status","warnings","habitat","basic_id_cues","consumer_advice","enforcement_advice","similar_animals","known_as","average_size_weight","first_responder","traded_as","common_trafficking","notes","keywords_tags","reference","disease_name","disease_risk_level","created_by","created_date","updated_by","updated_date"
"290","4","0","Mammal","Saola","Pseudoryx nghetinhensis","Appendix I","","","CR","","Moist mountain forests, Indochina dry and monsoon forests, steep river valleys, edge zones of forests. ","The Saola is usually reddish brown to dark brown in color and appears to have a similar body shape to a small deer. It has short straight hair with various white markings found across its entire body. It may have white patches across its feet and face and can have a dark stripe running along its spine. It has a distinguishing long tongue and dark straight horns.","DO NOT BUY Saolas. Despite their docile nature, they are difficult to keep and have a high mortality rate in captivity. They are critically endangered due to over-hunting. International shipment of this species and any trade is strictly prohibited. Report to authorities. ","INVESTIGATE. No legal international trade of Saolas, their meat or parts is permitted. Any papers purporting to allow such trade are false or unlawful. National protections may also apply. Examine each case for further investigative leads. Report to authorities. ","","Vu Quang Ox, Asian Unicorn","Height around 80-90 cm, length around 150cm, weight around 90-100kg.","Avoid handling animal unnecessarily, although Saolas are known to remain calm in the presence of humans. Request expert veterinary assistance. Animals should be under mild sedative for safety. They have an intense fear of dogs and should be kept far away from them. If they feel threatened they will snort and thrust their horns which can be dangerous.","Live animals as pets, meat, horns, trophy-hunting.","Snares are often used for hunting. Meat and other body parts like skulls and horns are often transported by trucks and motorbikes. ","","animal,brown,red,medium,large,tail,","","Anthrax, Brucellosis, Campylobacteriosis, Parapox Virus, Cryptosporidiosis, E. coli, Foot and Mouth disease, Giardia, Leptospirosis, Tuberculosis, Salmonella","Medium","1","2014-03-19 01:50:46","4","2016-03-29 04:48:34"
"291","2","1","Mammal","Calamanian Deer","Axis calamianensis","Appendix I","","Philippines","EN","","Grasslands, open woodlands, second-growth forests","This is a small deer with a stocky build, short legs, and slightly elevated hindquarters. They tend to be light golden brown. They have large rounded ears that are white on the inside and often have a dark dorsal stripe which goes all the way to the base of their tail. Only males have antlers.","DO NOT BUY Calamanian Deer, their parts or derivative products. They are widely hunted for food and for their antlers. This population is rapidly decreasing due to hunting pressure, human settlement and habitat loss.","INVESTIGATE. No legal international trade in Calamanian Deer, their meat or parts is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report to trusted authorities. ","","Calamanian Hog Deer","Height 60-65cm Length ~100-115cm Weight ~23-40kg","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive. Keep away from dogs and cattle.","Meat, fur, skins, antlers","Commonly traded as meat. Carcasses are smuggled in trucks or vehicles","","animal,fur,4legs,brown,gold,small,medium,antlers,light-brown,tail,orange","","Anthrax, Brucella, Campylobacteriosis, Pox virus, Rotavirus, Leptospirosis, Listeria, Pseudomonas, Q-fever, Sarcoptic mange, Tuberculosis, Salmonella, Giardia. ","Medium","1","2014-03-20 01:36:12","4","2015-12-02 03:32:08"
"292","4","0","Mammal","Bawean Deer","Axis kuhlii","Appendix I","","Indonesia","CR","Nocturnal","Primary and secondary forests, hill forests.","This is a medium/small deer that is brown in color. They may have lighter markings on their face, especially surrounding their eyes. They have short, stocky legs with slightly longer hindquarters. The males have three tined antlers.  Fawns are born with spots unlike other species of hog deer. ","DO NOT BUY Bawean Deer, their parts or derivative products. They are widely hunted for food and for their antlers. The Bawean Deer population is rapidly decreasing due to hunting pressure, human settlement, and habitat loss.","INVESTIGATE. No legal international trade in Bawean Deer, their meat or parts is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report.","","Kuhl's Hog Deer, Bawean Hog Deer","Height 60-70cm Length ~140cm Weight ~50-60kg","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animal should be mildly sedated for safety. Contain and do not approach until veterinarians or expert handlers arrive. They are an extremely shy and wary species that avoids contact with people. Keep away from dogs and cattle.","Meat, fur, skins, antlers. ","Commonly traded as meat. Carcasses are smuggled in trucks or vehicles. ","","animal,fur,4legs,brown,antlers,medium,small","","Anthrax, Brucella, Campylobacteriosis, Pox virus, Rotavirus, Leptospirosis, Listeria, Pseudomonas, Q-fever, Sarcoptic Mange, Tuberculosis, Salmonella, Giardia.","Medium","1","2014-03-20 01:38:55","4","2016-03-24 06:48:18"
"293","4","0","Mammal","Hog Deer","Axis porcinus","Appendix I","","Bangladesh, Bhutan, Indian, Nepal, Pakistan","EN","","Floodplains and wet grasslands in the foothills. ","Medium/small deer with a stout stocky build, short legs and raised hindquarters.  Males are larger than females with a distinguishing thicker neck. Females can be red/brown whereas males tend to remain dark brown in color. Many adults have spots in their summer coat. Males have three-tined antlers.","DO NOT BUY Hog Deer, their parts or derivative products. They are widely hunted for food and for their antlers. The Hog Deer population is rapidly decreasing due to hunting pressure, human settlement and habitat loss.","INVESTIGATE. No legal international trade in Hog Deer, their meat or parts is permitted. Any papers purporting to allow such trade are false or unlawful. National protections also apply. Examine each case for further investigative leads. Report to authorities. ","Indian Hog Deer","Thai Hog Deer, Indochinese Hog Deer","Height ~60-70cm Lenght ~105-115cm Weight ~30-50kg","Avoid handling animal unnecessarily. Request expert veterinary assistance. Animal should be under mild sedative for safety. Contain and do not approach until veterinarians or expert handlers arrive. When threatened Hog deer are known to whistle or bark. Males can be extremely aggressive and territorial. Keep away from dogs and cattle.","Meat, fur, skins, antlers. ","Commonly traded as meat. Carcasses are smuggled in trucks or vehicles. ","","animal,fur,4legs,brown,antlers,medium,small,orange,tail,","","Anthrax, Brucella, Campylobacteriosis, Pox virus, Rotavirus, Leptospirosis, Listeria, Pseudomonas, Q-fever, Sarcoptic mange, Tuberculosis, Salmonella, Giardia","Medium","1","2014-03-20 01:41:51","4","2016-03-29 03:56:10"
"294","4","0","Mammal","Hairy-fronted Muntjac","Muntiacus crinifrons","Appendix I","","China","VU","","Heavily forested mountain areas with abundant undergrowth, mixed forest and scrub","Small deer with dark brown/black fur and pale orange markings around the ears nose and head. They have characteristic tusks and males have medium sized antlers which may have one or two prongs.","DO NOT BUY. Muntjac, their parts or derivative products. They are widely hunted for food and for their antlers. This population is rapidly decreasing due to hunting pressure, expanding agriculture and habitat loss.","INVESTIGATE. No legal international trade in Muntjac, their meat or parts is permitted. Any papers purporting to allow such trade are false or unlawful. It is protected in China under Category I of the National Wildlife Law. Examine each case for further investigative leads. Report.","","Black Muntjac","Research needed","Avoid handling animal unnecessarily. This is an extremely shy species that not much is known about. Request expert veterinary assistance. Animal should be under mild sedative for safety, contain and do not approach until veterinarians or expert handlers arrive. Keep away from dogs and cattle.","Meat, fur, skins, antlers","Commonly traded as meat. Carcasses are smuggled in trucks or vehicles. ","","animal,fur,4legs,brown,black,antlers,small,orange,medium","","Anthrax, Brucella, Campylobacteriosis, Pox virus, Rotavirus, Leptospirosis, Listeria, Pseudomonas, Q-fever, Sarcoptic mange, Tuberculosis, Salmonella, Giardia","Medium","1","2014-03-20 01:44:40","4","2016-03-29 03:51:17"
"295","4","0","Reptile","Flatback Turtle","Natator depressus","Appendix I","","Australia","NA","","Tropical waters of the eastern Indian Ocean and western, Central and Southern Pacific.","A sea turtle easily identified by its flat upper shell upturned at the edges. The color of the shell varies from grey to green and the underside of the Flatback is pale yellow to white. One pair of scales between the eyes. Overhanging jaw.","DO NOT BUY Four eyed turtles. Although the endangered status is considered data deficient, this species lives in a very restricted range and is vulnerable to declines in the future. Report trade.","INVESTIGATE. For this species, all international trade in live animals, or body parts is prohibited. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads and report.","Green Turtle","","Length ~90cm Weight ~70kg","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care.During handling and shipment, they maybe deliberately fasted to avoid production of faeces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Food, Medicine, and Pets","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,gray,green,yellow,white,small,medium,tail","","Bacterial infections: Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2014-04-02 23:22:36","4","2016-03-29 03:26:14"
"296","2","1","Reptile","Southern River Terrapin","Batagur affinis","Appendix I","","Cambodia,Indonesia,Malaysia","","","RIvers and estuaries","This is a large river turtle with a large green or gray carapace and webbed feet. They have a distinctive snout shaped nose and their skin is primarily light gray.","DO NOT BUY Southern River Terrapins. Although research is needed to confirm an endangered status, many believe that this species is extinct in the wild. This species lives in a very restricted range and is vulnerable to declines in the future. Report trade.","INVESTIGATE. For this species, all international trade in live animals, or body parts is prohibited. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads and report.","Northern River Terrapin","","Length ~59cm","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care. During handling and shipment, they maybe deliberately fasted to avoid production of faeces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Food, Medicine, and Pets","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,skin,gray,green,medium,large,shell,black,tail","","Bacterial infections: Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2014-04-02 23:27:26","1","2015-10-03 14:58:51"
"297","4","0","Reptile","Southeast Asian Narrow-headed Softshell Turtle","Chitra chitra","Appendix I","","","CR","","Large rivers with clear water and sandy bottoms. ","This is one of the largest freshwater turtles which can be distinguished from other species due to the intricate pattern on the upper surface of its head and shell. It has a yellow/brown carapace which is usually rounded or elongated. It has a long, narrow head.","DO NOT BUY. This species of Asiatic Softshell is intensively exploited for trade as food, juveniles for the pet trade and also for uses in traditional Chinese medicine. Many believe this species to be extinct in the wild. Report trade to trusted authorities. ","INVESTIGATE. For this species, all international trade in live animals, or body parts is prohibited. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads and report to authorities. ","","Striped Narrow-headed Softshell Turtle","Length ~1.5m Weight up to 200kg","Avoid handling animal unnecessarily. Handle with extreme care: egg yolks are easily broken in the female’s body during rough handling or transport. Egg-carrying females are characterized by a higher carapace, or upper shell. Specimens in trade can have their shells broken and be internally wounded. These are very difficult to save and require expert veterinary assessment, which may call for specialized care.During handling and shipment, they maybe deliberately fasted to avoid production of feces in the container and will not survive long without any food so it is essential these animals are placed in specialized veterinary care immediately. Ensure ventilation, but do not remove until a better holding environment can be found. Suspected captive bred or non-native specimens should not be released into the wild.","Food, medicine, and pets. ","Shipped by truck, boat and air freight. Specimens are often transported in plastic sacks. Specimens can be transported live or their eggs. Often concealed on persons or in luggage. Counterfeit documents purporting the legal shipment are common.","","animal,shell,skin,brown,yellow,black,white,large,medium,gray","","Bacterial infections: Salmonellosis, Aeromonasis, Campylobacteriosis, Pseudomonas, Mycobacterium spp.","Low","1","2014-04-02 23:37:54","4","2016-03-29 04:58:59"
"300","2","1","Product","Bear products","Helarctos, Ursus","","","","VU","","","Bear products including bile, gall bladders, paws, and other products. Bile is a digestive juice produced by the liver that aids in the digestion of fat.  It is stored and concentrated in the gall bladder. Bear bile has been used for millennia as a medicine in Asia, and has been proven to have a number of medicinal qualities in humans, due to a high concentration of a certain bile acid. Bear products can also include the gallbladder itself, which is a dark brown organ, often dried. Other Bear products include fur, paws, and even whole specimens.","DO NOT BUY Bears products. Most countries strictly regulate the bear bile trade. Bear farms are inhumane and should not be supported. Disreputable bear bile farming has been linked to the trafficking, abuse, and killing of bears. Do not support operators that fail to be transparent about the source of their animals. Report trade to trusted authorities.","INVESTIGATE. Examine each case for further investigative leads and proper documentation. Report to authorities. ","","","varies","Avoid handling articles. Handle evidence with sterile plastic gloves. Take a sample of the seizure (including deceased articles) before following your agency's protocol.","Often used in traditional Chinese medicine in the form of pills and liquid, wines, eye drops, and general tonics.","Smuggled in many various ways, often hidden in luggage and ornaments or disguised as legal tinctures or medicines.","","product,medicine,trophy,bone,pelt,paw,claw,brown","","","","1","2014-04-09 01:19:41","4","2015-11-30 08:32:42"
"302","2","1","Product","Turtle Shells and Derivative Products","","","","","","","","All products of turtles including shells (carapace), products made from shells, meat and eggs. Many different products are made from turtles including combs and brushes, hand fans and various other jewelry. ","DO NOT BUY any turtle products. Although some species have healthy populations and the trade is regulated, the difficulty in identifying different species makes trading of endangered species accessible. Rampant poaching of sea turtles threatens many different species. Report to authorities. ","INVESTIGATE. For most turtle species (especially marine turtles), all international trade in live animals, or body parts is illegal. Any papers purporting to allow such trade are false or unlawful. Examine each case for further investigative leads and report to authorities. ","","","Varies","Avoid handling animal or product unnecessarily.Take a sample of the seizure (including deceased articles) before following your agency's protocol.","Used as meat, medicine, and their shells for various products.","","","product,jewelry,trophy,ornament,shell,meat,scales,speckled,other","","","","1","2014-04-09 01:25:34","1","2015-10-03 16:51:54"
"303","2","1","Product","Tiger Derived Medicines","","Appendix I","","","","","","There are many different medicines derived from tigers including bandages and various ointments.","DO NOT BUY. Tiger derived medicines have no proven medicinal benefits. Several thousand tigers are all that remain in the wild across the world and farming of tigers will only increase pressures on wild populations. Report trade to trusted authorities.","INVESTIGATE. It is illegal to trade tiger products internationally, including in medicinal form. Forensic analysis may be required to determine real from fake tiger medicines. Examine each case for further investigative leads. Report to authorities. ","","","Varies. ","Avoid handling animal or product unnecessarily.Take a sample of the seizure (including deceased articles) before following your agency's protocol.","Can be used for a multitude of purposes including bandages, ointments and pastes.","","","product,medicine,powder,bone,","","","","1","2014-04-09 01:52:00","1","2015-10-05 03:27:38"
"304","2","1","Product","Pangolin scales","manis","","","","","","","The large scales that cover the pangolin. Usually brown in color.","DO NOT BUY pangolins or any derivative products. Trade in pangolins is highly unsustainable. Pangolin consumption has no proven medicinal benefit. It is illegal to transport Asian pangolins or their parts, and trade in African species is highly regulated. Report trade to trusted authorities.","INVESTIGATE. International trade in Asian pangolins or their parts is illegal, trade in African species is limited and highly regulated. It is very difficult to tell the scales of one species from another. Papers purporting to allow such trade are often forged, false or unlawful. National protections also apply. Examine each case for further investigative leads. Report to authorities. ","Sunda Pangolin, Palawan/Philippine Pangolin, Chinese Pangolin, Indian Pangolin, Black-bellied Pangolin, White-bellied Pangolin, Giant Ground Pangolin, Temminck's Ground Pangolin, Pangolin derived medicines","Scaly anteater scales","Width/length: ~40mm Weight: ~2.5g","Avoid handling article. Take a sample of the seizure (including deceased articles) before following your agency's protocol.","Scales, usually then ground into powder for medicines. ","Hidden in various sacks or containers and often shipped by boat and land vehicle (car and truck).","","product,medicine,scales,powder,scales,brown,skin,orange","","","","1","2014-04-09 03:04:53","4","2015-12-01 08:37:04"
"305","2","1","Product","Ivory","Elephas maximus, Loxodonta africana, Loxodonta cyclotis","Appendix I","","","EN","","","Hard white/cream colored dentin substance. In its raw form, ivory is shaped as curved and pointed tusks. Elephant tusks vary in size but are generally larger than those of other animals.","DO NOT BUY products that are, purport to be or contain ivory. Trade in ivory is highly unsustainable and encourages elephant poaching. It is illegal to transport ivory internationally. Report trade to trusted authorities. Report.","INVESTIGATE. No legal international trade in ivory is currently permitted. Any papers purporting to allow such trade are false or unlawful. National laws also apply. Forensic analysis is usually necessary to positively identify ivory (species, and genuine from fake) or date it as post-ban. A clear evidence chain should be established to prove ivory was sourced or transported illegally. Examine each case for further investigative leads. Report.","","White gold, Gading Gajah (Malaysia)","Tusk Length: 20-350 cm Diameter: 4-15 cm Weight: 4-90 kg","Avoid handling article.Take a sample of the seizure (including deceased articles) before following your agency protocol.","Whole tusks, cut and carved ivory - ornaments, souvenirs, jewelry, chopsticks, etc.","In crates shipped by air and sea.","","product,jewelry,bone,tusk,ornament,trophy,medicine,white,yellow, ","","","","1","2014-04-09 03:10:28","1","2015-11-13 02:41:24"
"306","2","1","Bird","White-winged Duck","Asarcornis scutulata","Appendix I","","Cambodia,Indonesia,Lao PDR,Myanmar,Thailand,Vietnam,Bangladesh,India","EN","","Stagnant or slow-flowing wetlands adjacent to evergreen or deciduous forests.","This is one of the biggest species of duck. They have a dark body with distinctive white head.  Females are smaller than males and have a mottled head and neck. The male has a yellowish bill and in flight was white patches on its forewings. ","DO NOT BUY White-winged Ducks or derivative parts. They are experiencing population declines largely attributed to hunting and collection of eggs and chicks for food or pets. In addition they are experiencing habitat loss because of human destruction and disturbance and are already thought to be extinct in some of its native ranges. ","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report to authorities. ","","Cairina Scutulata, White-winged Wood Duck","Length ~65-80cm Weight ~2-4kg","Avoid handling animal unnecessarily. They are a very secretive and shy species and prone to stress. They prefer to eat seeds, aquatic plants, grain, rice, snails, small fish and insects; however, they only feed at night.","Traded as meat for consumption; eggs and chicks are collected for food and pets.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,black,white,medium,large,wings,brown,beak","","Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus ","Medium","1","2014-05-18 21:20:18","1","2015-10-02 15:30:28"
"308","2","1","Bird","Tanimbar Corella","Cacatua goffiniana","Appendix I","","Indonesia,Tanimbar Islands archipelago Indonesia","NT","","Forest and agricultural land, feeds on maize crops and roosts in nearby trees.","A crested cockatoo with a body covered primarily by white feathers. Often times you see salmon or pink colored feathers between the beak and the eyes. The deeper part of the crest feathers can also be salmon in color.  The underside and tail often have a yellowish tinge. The beak is pale grey and eyes can range from brown to black.  ","DO NOT BUY Goffin's Cockatoo. Population declines are attributed to habitat loss, being targeted for illegal hunting and being exploited for the pet trade.  ","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. Report to authorities. ","","Tanimbar cockatoo, Tanimbar corella, Goffin's corella, Goffin's Cockatoo","Length ~31 cm Weight ~300g","Avoid handling animal unnecessarily. Bite risk. Wear a mask and gloves when dealing with birds. They are prone to developing self destructive behaviours such as feather plucking or repetitive behaviour when stressed. They are extremely intelligent and as such require a lot of attention, enrichment and stimulation. ","Live animals for the pet trade. ","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,white,yellow,small,wings,beak,tail,","","Psittacosis, Salmonella, Campylobacter, Newcastle disease, Avian TB, Allergic Alveolitis, West Nile virus, avian influenza, Mycobacterium, Aspergillus fumigatus.","Medium","1","2014-05-19 03:29:40","1","2015-10-03 16:44:48"
"309","4","0","Bird","Bali Starling","Leucopsar rothschildi","Appendix I","","","CR","","Fire-induced open shrubland, tree and palm savannah, and moist tropical deciduous forests.","This is a medium passerine with a white body, blue facial skin surrounding the eyes, and a black tail. It has blue-gray legs and a yellow bill.  It also has a long drooping white crest. ","DO NOT BUY Bali Starlings or derivative products. This is a critically endangered species experiencing population decline due to unsustainable illegal trapping and habitat loss. Report to trusted authorities.","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report to authorities. ","","Rothschild's Mynah, Bali Myna, Jalak Bali","Length ~25cm ","Avoid handling animal unnecessarily. Always wear gloves and a mask when handling birds. 
","Live animals for the cage-bird trade.","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,white,blue,grey,black,feathers,small,wings,beak,tail","","Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus.","Medium","1","2014-05-19 20:15:06","4","2016-03-24 06:39:09"
"310","2","1","Bird","Milky Stork","Mycteria cinerea","Appendix I","","Cambodia,Indonesia,Malaysia","EN","","Mangroves and saline swamps","This is a large stork species with a primarily white body with areas of mottled gray or black on its wings. It has pink legs and a large yellow/orange bill and naked face. The tail feathers can often be green or black. ","DO NOT BUY Milky Storks, chicks, eggs or derivative products. They are experiencing significant population declines due primarily to hunting and trade as well as habitat loss. Report to trusted authorities.","INVESTIGATE. All international trade of the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report to authorities. ","","","Height ~90-95cm","Avoid handling animal unnecessarily. Pecking risk – must box individually. A padded roof would be advantageous to prevent injury. These birds are capable of inflicting a painful and serious wound. Be careful when handling them. The best way to capture any of these birds is with a long-handled, large fishing net. If a net is not available, use a blanket or coat and cover the entire bird before picking it up. If you must carry the bird in your arms, be sure to keep its beak away from your face. Place it in a box suitable for the bird’s size, and keep it warm, dark and quiet.","Hunted for food, chicks and eggs collected for domestication. ","Birds are commonly trafficked as eggs or as sedated animals. Sometimes disguised on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,white,yellow,orange,medium,large,wings,beak,black,","","Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus ","","1","2014-05-19 20:37:11","4","2015-12-01 06:09:57"
"311","4","0","Bird","Nicobar Pigeon","Caloenas nicobarica","Appendix I","","India, Palau, Papua New Guinea, Solomon Islands","NT","","Small, wooded offshore islands, uninhabited remote islets with undistrubed forest vegetation. ","This is a large pigeon with a gray head. It has a green and copper breast and back feathers with a short white tail. Much of the rest of its plumage is metallic green and may have many varieties of color which can appear iridescent. They have dull red legs and a dark bill that often has a blackish knob. ","DO NOT BUY Nicobar Pigeons or derivative products including jewelry. They are experiencing rapid population decline due to overhunting and habitat loss. ","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report.","","Nicobar Dove","Length ~ 40cm","Avoid handling animal unnecessarily. Needs a small box to avoid injury. Wear gloves and a mask. Prefers to be in flocks and is not usually shy, however steps to be taken to minimize stress. ","Food, live animals for the pet trade, and hunted for their gizzard-stones for medicinal properties and jewelry","Birds are commonly trafficked as eggs or as sedated animals. Sometimes hidden on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,gray,green,copper,blue,medium,wings,red,yellow,orange,tail,beak","","Avian Influenza, Chlamydiosis, Histoplasmosis, Newcastle Disease, Salmonellosis, West Nile Virus ","Medium","1","2014-05-19 20:46:21","4","2016-03-29 04:25:58"
"312","4","0","Bird","Himalayan Monal","Lophophorus impejanus","Appendix I","","Bhutan, China, India, Nepal, Pakistan","LC","","Temperate oak-conifer forests, grassy slopes and alpine meadows","This is a large pheasant. The males have iridescent multi-colored plumage whereas the females are brown and dull in color however have a distinctive white patch on their throat. The males also have a large green crest and coppery feathers on its back and neck.","DO NOT BUY Himalayan Monals or derivative products. They are experiencing population decline due to overhunting and habitat loss. ","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report.","","Impeyan Monal,Impeyan Pheasant,Danphe","Length ~70cm Wieight ~2-2.5kg","Avoid handling animal unnecessarily. Relatively little is known about this species. Request expert veterinary assistance. They eat roots and small invertebrates.","Food and sport hunting for its feathers","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,green,copper,brown,wings,purple,blue,red,yellow,beak,tail,",""," West Nile virus,avian influenza,Mycobacterium,Aspergillus fumigatus","Medium","1","2014-05-19 20:54:04","4","2016-03-29 03:55:02"
"313","4","0","Bird","Sclater's Monal","Lophophorus sclateri","Appendix I","","China, India","VU","","Alpine meadows, rocky slopes and coniferous forests with bamboo understory. ","A large pheasant with colorful males and dull females. They have iridescent purple and green feathers and green metallic crown feathers. They have a deep purple throat, blue skin around the eyes and a yellow bill. The tail is brown with distinctive white feathers.","DO NOT BUY Sclater's Monal or derivative products. They are experiencing population decline due to overhunting and habitat loss. ","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report to authorities. ","","Crestless Monal","Length ~68cm","Avoid handling animal unnecessarily. Relatively little is known about this species. Request expert veterinary assistance. They eat roots, tubers, bulbs, rodents and small invertebrates.","Hunting for food, feathers to make ornaments and fans. ","Birds are commonly trafficked as eggs or as sedated animals. Sometimes secreted on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,purple,green,blue,brown,small,medium,beak,wings,tail,","","West Nile virus, avian influenza, Mycobacterium, Aspergillus fumigatus. ","Medium","1","2014-05-19 20:59:47","4","2016-03-29 04:52:11"
"314","2","1","Bird","Edward's Pheasant","Lophura edwardsi","Appendix I","","Vietnam","CR","","Damp mountain forests witth thick underbrush","Males and females have red facial skin and red legs. The males have dark blue-black feathers with iridescent green plumage on its wings. The female is dull brown.","DO NOT BUY Edward's Pheasant or derivative products. This is a critically endangered species experiencing population decline due to unsustainable trapping, overhunting and habitat loss. Report to trusted authorities.","INVESTIGATE. All international trade in the species is prohibited. Any papers purporting to allow such trade are false and unlawful. Examine each case for further investigative leads. National protections may also apply. Report.","","","Length ~58-65cm","Avoid handling animal unnecessarily. Relatively little is known about this species. Request expert veterinary assistance. They eat roots, tubers, bulbs, rodents and small invertebrates.","Food for consumption,feathers","Birds are commonly trafficked as eggs or as sedated animals. Sometimes pilfered on the smuggler's body in specially made pockets/pouches. Also found in suitcases, usually packed tightly into small plastic or cardboard cylinders/pipes. Also transported in cages, usually covered, by boat or land vehicle.","","animal,feathers,2legs,black,green,blue,brown,red,wings,tail,beak,",""," West Nile virus,avian influenza,Mycobacterium,Aspergillus fumigatus","Medium","1","2014-05-19 21:03:46","1","2015-10-02 07:47:56"
